order_id,order_date,customer_id,order_status,order_amount
11,2013-07-25 00:00:00.0,918,PAYMENT_REVIEW,6
12,2013-07-25 00:00:00.0,1837,CLOSED,8
13,2013-07-25 00:00:00.0,9149,PENDING_PAYMENT,10
14,2013-07-25 00:00:00.0,9842,PROCESSING,12
15,2013-07-25 00:00:00.0,2568,COMPLETE,14
16,2013-07-25 00:00:00.0,7276,PENDING_PAYMENT,19
17,2013-07-25 00:00:00.0,2667,COMPLETE,22
18,2013-07-25 00:00:00.0,1205,CLOSED,34
19,2013-07-25 00:00:00.0,9488,PENDING_PAYMENT,56
20,2013-07-25 00:00:00.0,9198,PROCESSING,79
